station_id,trips_started,name,lat,lon,capacity
7196,3645,Roxton Rd / Harbord St,43.65905,-79.422988,11
7197,8972,Queen St W / Dovercourt Rd,43.6438602,-79.4227573,11
7198,4597,Queen St W / Cowan Ave,43.6409,-79.432837,19
7199,20731,College St / Markham St,43.6563888888889,-79.4091666666667,19
7202,9199,Queen St W / Bay St (City Hall),43.6517925,-79.3826951,23
7203,20583,Bathurst St/Queens Quay(Billy Bishop Airport),43.635492,-79.398253,35
7204,13867,College St / Crawford St,43.655,-79.418889,19
7205,6104,Rusholme Park Cres / College St,43.65277778,-79.42972222,15
7206,8551,Claremont St / Dundas St W,43.651281,-79.411717,13
7207,18067,Dundas St W / Crawford St,43.649722,-79.416944,23
7208,8833,80 Clinton St (North of College),43.656296,-79.414663,15
7209,5634,Ossington Ave / Harrison St,43.6511111111111,-79.4213888888889,19
7210,2809,Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.4330555555556,15
7211,11740,Fort York Blvd / Garrison Rd,43.637381,-79.406112,15
7216,10386,Wellington St W / Stafford St,43.6409957,-79.4096663,23
7217,23394,Soho St / Queen St W,43.6494896,-79.393535,0
7220,8671,Lake Shore Blvd W / Ellis Ave,43.635932,-79.465083,19
7221,2412,High Park Subway Station,43.6543604,-79.4655296,11
7222,10031,Sunnyside - Gus Ryder Pool,43.637894,-79.454823,27
7223,2478,Parkside Dr / Bloor St W - SMART,43.654501,-79.460053,12
7224,2430,Bloor St W / High Park Ave (High Park),43.6535269,-79.4650569,23
7225,4520,Lake Shore Blvd W / Windermere Ave,43.634896,-79.467763,19
7226,10665,Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,19
7227,9564,Martin Goodman Trail (Marilyn Bell Park),43.6314,-79.4304,31
7228,1930,Queen St W / Roncesvalles Ave,43.6372958,-79.4423237,19
7229,1834,Dundas St W / Roncesvalles Green P - SMART,43.6534268,-79.4512787,12
7230,4524,Garden Ave / Roncesvalles Ave,43.643769,-79.447915,18
7231,2726,Wright Ave / Sorauren Ave - SMART,43.646677,-79.442741,18
7232,2995,Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,16
7233,5662,King / Cowan Ave - SMART,43.637922,-79.431734,16
7234,4109,Roncesvalles Ave / Marmaduke St,43.650492,-79.450842,19
